timestamp,part_id,vitesse_broche_rpm,avance_outil,profondeur_passe,temp_broche,temp_piece,vibration_broche,couple_moteur,puissance_conso_kw,temps_cycle_theo,temps_cycle_reel,nb_pieces_prod,nb_pieces_nok,id_machine,version_prog,num_outil,usure_outil_pct,etat_machine,alarmes
2023-10-26 08:03:42,P-Usine_A-000001,12089,2103.0,2.99,54.9,42.6,0.522,12.63,7.67,120.0,124.3,1,0,CNU-02,v2.4,4,3.8,RUN,NONE
2023-10-26 08:08:17,P-Usine_A-000002,12140,2137.0,2.86,51.2,30.3,0.569,12.56,6.27,120.0,120.4,2,0,CNU-01,v2.4,4,4.5,RUN,NONE
2023-10-26 08:12:15,P-Usine_A-000003,11852,1967.0,3.11,47.2,40.1,0.589,13.64,7.48,120.0,124.1,3,0,CNU-02,v2.4,3,2.4,RUN,NONE
2023-10-26 08:08:35,P-Usine_A-000004,12189,1905.0,2.92,52.6,39.5,0.406,12.64,7.6,120.0,121.1,4,0,CNU-01,v2.4,5,4.7,RUN,NONE
2023-10-26 08:09:42,P-Usine_A-000005,12147,2054.0,3.06,44.8,32.8,0.546,14.85,6.45,120.0,122.4,5,0,CNU-02,v2.4,3,4.7,RUN,NONE
2023-10-26 08:09:09,P-Usine_A-000006,12146,2055.0,3.09,52.6,40.3,0.398,10.34,5.68,120.0,122.0,6,0,CNU-01,v2.4,5,6.4,RUN,NONE
2023-10-26 08:09:09,P-Usine_A-000006,12146,2055.0,3.09,52.6,40.3,0.398,10.34,5.68,120.0,122.0,6,0,CNU-01,v2.4,5,6.4,RUN,NONE
2023-10-26 08:13:28,P-Usine_A-000007,12353,999.9,3.07,45.0,33.5,0.642,12.78,5.43,120.0,122.7,7,0,CNU-02,v2.4,2,6.7,RUN,NONE
2023-10-26 08:16:49,P-Usine_A-000008,12287,1895.0,2.88,51.7,34.2,0.363,12.74,5.2,120.0,128.3,8,0,CNU-01,v2.4,2,8.2,RUN,NONE
2023-10-26 08:12:37,P-Usine_A-000009,11641,2195.0,3.02,47.8,43.9,0.756,10.36,6.32,120.0,124.7,9,0,CNU-02,v2.4,1,6.7,RUN,NONE
