timestamp,part_id,couple_percage_nm,vitesse_rotation_rpm,nb_cycles_outil,usure_outil_pct,temperature_actuateur,micro_arrets
2023-10-26 08:08:42,P-Usine_A-000001,5.47,2499,2,0.2,43.2,2
2023-10-26 08:07:16,P-Usine_A-000002,4.09,2483,3,0.4,40.4,0
2023-10-26 08:14:58,P-Usine_A-000003,4.8,2575,4,0.6,37.9,1
2023-10-26 08:17:52,P-Usine_A-000004,5.92,2641,5,0.8,42.1,2
2023-10-26 08:17:27,P-Usine_A-000005,4.72,2421,6,1.0,39.7,0
2023-10-26 08:15:18,P-Usine_A-000006,5.63,2521,7,1.2,41.4,0
2023-10-26 08:19:21,P-Usine_A-000007,4.98,2518,8,1.4,42.0,0
2023-10-26 08:20:05,P-Usine_A-000008,5.27,2443,9,1.6,44.0,0
2023-10-26 08:15:05,P-Usine_A-000009,4.45,2572,10,1.8,36.9,1
2023-10-26 08:16:19,P-Usine_A-000010,4.64,2438,11,2.0,38.2,1
2023-10-26 08:19:03,P-Usine_A-000011,5.45,2464,12,2.2,41.1,0
2023-10-26 08:21:13,P-Usine_A-000012,5.98,2480,13,2.4,41.9,2
2023-10-26 08:18:29,P-Usine_A-000013,5.43,2545,14,2.6,44.1,2
2023-10-26 08:26:52,P-Usine_A-000014,4.71,2520,15,2.8,38.0,0
2023-10-26 08:29:28,P-Usine_A-000015,4.51,2502,999.9,3.0,35.3,0
2023-10-26 08:23:46,P-Usine_A-000016,4.35,2569,17,3.2,40.8,1
2023-10-26 08:29:58,P-Usine_A-000017,4.17,2573,18,3.4,36.7,1
2023-10-26 08:31:21,P-Usine_A-000018,5.14,2452,19,3.6,42.5,2
2023-10-26 08:28:41,P-Usine_A-000019,5.99,2480,20,3.8,38.0,0
2023-10-26 08:30:05,P-Usine_A-000020,4.78,2531,21,4.0,38.0,0
2023-10-26 08:34:14,P-Usine_A-000021,5.86,2542,22,4.2,39.9,0
2023-10-26 08:34:41,P-Usine_A-000022,5.43,2428,23,4.4,40.2,1
2023-10-26 08:33:05,P-Usine_A-000023,5.15,2579,24,4.6,42.3,0
2023-10-26 08:33:53,P-Usine_A-000024,5.85,2444,25,4.8,38.2,2
2023-10-26 08:38:16,P-Usine_A-000025,4.61,2446,26,5.0,999.9,1
2023-10-26 08:32:12,P-Usine_A-000026,4.04,2553,27,5.2,38.9,1
2023-10-26 08:35:01,P-Usine_A-000027,4.8,2471,28,5.4,38.9,2
2023-10-26 08:38:53,P-Usine_A-000028,4.72,,29,5.6,40.3,1
2023-10-26 08:38:55,P-Usine_A-000029,5.58,2526,30,5.8,42.9,2
2023-10-26 08:40:23,P-Usine_A-000030,4.62,2500,31,999.9,37.6,1
2023-10-26 08:41:50,P-Usine_A-000031,4.43,2536,32,6.2,39.8,0
2023-10-26 08:42:51,P-Usine_A-000032,5.73,2479,33,6.4,42.7,0
2023-10-26 08:41:37,P-Usine_A-000033,5.05,2505,34,6.6,37.5,0
2023-10-26 08:44:43,P-Usine_A-000034,5.96,2512,35,6.8,35.8,2
2023-10-26 08:40:43,P-Usine_A-000035,5.04,2577,36,7.0,40.5,2
2023-10-26 08:42:50,P-Usine_A-000036,4.71,,37,7.2,43.8,0
2023-10-26 08:48:14,P-Usine_A-000037,4.48,2528,38,7.4,43.5,1
2023-10-26 08:49:27,P-Usine_A-000038,4.55,2474,39,7.6,44.1,1
2023-10-26 08:54:03,P-Usine_A-000039,4.23,2486,40,7.8,43.6,0
2023-10-26 08:51:06,P-Usine_A-000040,4.96,2455,41,8.0,39.3,2
2023-10-26 08:46:32,P-Usine_A-000041,4.58,2487,42,8.2,35.5,2
2023-10-26 08:49:19,P-Usine_A-000042,5.93,2556,43,8.4,41.2,0
2023-10-26 08:51:51,P-Usine_A-000043,4.47,2474,44,8.6,38.2,2
2023-10-26 08:54:27,P-Usine_A-000044,5.82,2461,45,8.8,37.4,1
2023-10-26 08:50:06,P-Usine_A-000045,6.0,2448,46,9.0,42.5,2
2023-10-26 08:58:52,P-Usine_A-000046,4.26,2495,47,9.2,41.0,1
2023-10-26 08:57:32,P-Usine_A-000047,5.08,2529,48,9.4,43.8,0
2023-10-26 08:57:31,P-Usine_A-000048,999.9,2483,49,9.6,39.4,1
2023-10-26 08:55:31,P-Usine_A-000049,5.08,2467,50,9.8,39.7,1
2023-10-26 08:58:00,P-Usine_A-000050,5.79,2467,51,10.0,42.2,0
2023-10-26 08:59:30,P-Usine_A-000051,4.9,2523,52,10.2,45.0,1
2023-10-26 09:01:23,P-Usine_A-000052,4.38,2463,53,10.4,44.1,0
2023-10-26 09:00:27,P-Usine_A-000053,4.94,2494,54,10.6,37.5,1
