timestamp,part_id,id_lot_matiere,fournisseur,type_materiau,longueur_brute_theo,longueur_brute_reelle,vitesse_coupe,temp_coupe,etat_machine,duree_cycle,taux_chute
2023-10-26 08:02:32,P-Usine_A-000001,LOT-104,MetalX,Acier Inox 316L,1500.0,1500.55,104.0,228.7,RUN,44.4,4.78
2023-10-26 08:06:16,P-Usine_A-000002,LOT-100,MetalX,Acier Inox 316L,1500.0,1499.53,96.3,213.7,RUN,48.3,3.01
2023-10-26 07:58:18,P-Usine_A-000003,LOT-105,AcierPro,Acier Inox 316L,1500.0,1500.6,96.5,243.0,RUN,49.7,3.99
2023-10-26 08:03:50,P-Usine_A-000004,LOT-104,AcierPro,Acier Inox 316L,1500.0,1500.59,99.5,226.3,RUN,49.7,2.37
2023-10-26 08:09:46,P-Usine_A-000005,LOT-102,MetalX,Acier Inox 316L,1500.0,,104.8,237.8,RUN,42.3,3.68
2023-10-26 08:11:14,P-Usine_A-000006,LOT-102,AluBest,Acier Inox 316L,1500.0,1499.58,101.1,221.0,RUN,47.1,4.14
2023-10-26 08:11:19,P-Usine_A-000007,LOT-104,AcierPro,Acier Inox 316L,1500.0,1499.63,100.2,231.6,RUN,43.6,3.96
2023-10-26 08:05:15,P-Usine_A-000008,LOT-104,AcierPro,Acier Inox 316L,1500.0,1499.22,95.9,226.7,RUN,,3.56
2023-10-26 08:13:08,P-Usine_A-000009,LOT-101,AluBest,Acier Inox 316L,1500.0,1500.17,101.3,232.1,RUN,46.0,4.09
2023-10-26 08:11:38,P-Usine_A-000010,LOT-102,AluBest,Acier Inox 316L,1500.0,1500.73,104.7,216.1,RUN,44.9,2.72
2023-10-26 08:07:31,P-Usine_A-000011,LOT-100,MetalX,Acier Inox 316L,1500.0,1500.17,96.5,244.6,RUN,48.5,3.81
2023-10-26 08:12:26,P-Usine_A-000012,LOT-104,AcierPro,Acier Inox 316L,1500.0,1499.53,100.3,241.0,RUN,41.5,4.62
2023-10-26 08:08:47,P-Usine_A-000013,LOT-103,AluBest,Acier Inox 316L,1500.0,1500.62,100.6,203.2,RUN,48.5,3.58
2023-10-26 08:18:59,P-Usine_A-000014,LOT-101,AluBest,Acier Inox 316L,1500.0,1499.89,98.7,239.2,STOP,45.7,4.97
2023-10-26 08:11:26,P-Usine_A-000015,LOT-103,MetalX,Acier Inox 316L,1500.0,1499.68,100.5,241.4,RUN,46.1,2.47
2023-10-26 08:21:02,P-Usine_A-000016,LOT-102,AcierPro,Acier Inox 316L,1500.0,1500.55,101.4,238.0,RUN,45.1,4.97
2023-10-26 08:15:05,P-Usine_A-000017,LOT-102,MetalX,Acier Inox 316L,1500.0,1499.96,95.3,210.9,RUN,43.9,2.93
2023-10-26 08:15:21,P-Usine_A-000018,LOT-102,AluBest,Acier Inox 316L,1500.0,1499.34,100.8,234.4,RUN,43.9,2.41
2023-10-26 08:14:50,P-Usine_A-000019,LOT-104,MetalX,Acier Inox 316L,1500.0,1499.19,103.7,223.4,STOP,45.8,2.89
2023-10-26 08:24:04,P-Usine_A-000020,LOT-104,AluBest,Acier Inox 316L,1500.0,1499.74,101.3,249.2,RUN,46.2,2.07
2023-10-26 08:23:36,P-Usine_A-000021,LOT-101,AluBest,Acier Inox 316L,1500.0,1499.79,101.4,236.3,RUN,42.0,3.96
2023-10-26 08:26:15,P-Usine_A-000022,LOT-104,MetalX,Acier Inox 316L,1500.0,1499.98,104.3,246.5,RUN,43.6,3.1
2023-10-26 08:21:38,P-Usine_A-000023,LOT-105,MetalX,Acier Inox 316L,1500.0,1500.1,95.1,237.9,RUN,41.4,2.82
2023-10-26 08:26:54,P-Usine_A-000024,LOT-104,MetalX,Acier Inox 316L,1500.0,1499.48,104.0,223.0,RUN,45.1,2.29
2023-10-26 08:22:53,P-Usine_A-000025,LOT-100,MetalX,Acier Inox 316L,1500.0,1499.54,103.6,221.2,RUN,41.3,4.19
2023-10-26 08:22:30,P-Usine_A-000026,LOT-104,AluBest,Acier Inox 316L,1500.0,1501.26,98.8,206.4,RUN,48.2,3.23
2023-10-26 08:31:46,P-Usine_A-000027,LOT-102,MetalX,Acier Inox 316L,1500.0,1499.96,99.5,226.6,RUN,45.0,3.68
2023-10-26 08:27:12,P-Usine_A-000028,LOT-105,AluBest,Acier Inox 316L,1500.0,1499.95,100.6,247.4,RUN,45.6,2.93
2023-10-26 08:27:42,P-Usine_A-000029,LOT-101,AluBest,Acier Inox 316L,1500.0,1499.74,102.5,209.5,RUN,48.2,3.46
2023-10-26 08:31:40,P-Usine_A-000030,LOT-104,AluBest,Acier Inox 316L,1500.0,1499.56,102.4,239.6,RUN,42.3,4.52
2023-10-26 08:26:47,P-Usine_A-000031,LOT-103,AcierPro,Acier Inox 316L,1500.0,1499.66,98.1,226.0,RUN,44.4,2.71
2023-10-26 08:32:58,P-Usine_A-000032,LOT-100,AcierPro,Acier Inox 316L,1500.0,1499.58,99.2,207.1,RUN,42.8,4.93
2023-10-26 08:29:09,P-Usine_A-000033,LOT-103,AluBest,Acier Inox 316L,1500.0,1499.65,98.5,223.6,RUN,43.1,4.86
2023-10-26 08:31:43,P-Usine_A-000034,LOT-101,AcierPro,Acier Inox 316L,1500.0,1500.23,99.0,249.7,RUN,41.5,3.17
2023-10-26 08:38:30,P-Usine_A-000035,LOT-102,MetalX,Acier Inox 316L,1500.0,1500.14,95.5,202.6,RUN,46.3,4.92
2023-10-26 08:39:49,P-Usine_A-000036,LOT-101,AcierPro,Acier Inox 316L,1500.0,1499.86,103.3,241.0,RUN,49.5,3.74
2023-10-26 08:35:21,P-Usine_A-000037,LOT-105,AluBest,Acier Inox 316L,1500.0,1499.8,95.8,243.5,RUN,41.0,3.09
2023-10-26 08:36:20,P-Usine_A-000038,LOT-100,AluBest,Acier Inox 316L,1500.0,1500.14,99.5,211.0,RUN,41.6,3.67
2023-10-26 08:41:16,P-Usine_A-000039,LOT-105,AcierPro,Acier Inox 316L,1500.0,1499.67,103.9,215.9,STOP,42.3,3.06
2023-10-26 08:40:22,P-Usine_A-000040,LOT-103,MetalX,Acier Inox 316L,1500.0,1499.85,101.3,249.2,RUN,41.5,2.13
2023-10-26 08:39:12,P-Usine_A-000041,LOT-102,AluBest,Acier Inox 316L,1500.0,1500.3,102.0,241.2,RUN,48.8,3.14
2023-10-26 08:36:55,P-Usine_A-000042,LOT-105,MetalX,Acier Inox 316L,1500.0,1500.02,103.3,228.2,RUN,40.9,4.05
2023-10-26 08:43:21,P-Usine_A-000043,LOT-102,AluBest,Acier Inox 316L,1500.0,1499.74,103.6,249.4,RUN,48.7,3.42
2023-10-26 08:42:55,P-Usine_A-000044,LOT-105,MetalX,Acier Inox 316L,1500.0,1499.26,104.2,219.0,RUN,45.2,2.79
2023-10-26 08:42:58,P-Usine_A-000045,LOT-101,AcierPro,Acier Inox 316L,1500.0,1500.14,95.8,247.8,RUN,45.3,2.03
2023-10-26 08:48:38,P-Usine_A-000046,LOT-103,AcierPro,Acier Inox 316L,1500.0,1500.02,95.4,236.8,RUN,40.3,3.4
2023-10-26 08:44:51,P-Usine_A-000047,LOT-100,AcierPro,Acier Inox 316L,1500.0,1499.79,99.6,247.4,RUN,47.9,2.15
2023-10-26 08:49:33,P-Usine_A-000048,LOT-102,AcierPro,Acier Inox 316L,1500.0,1500.2,103.6,242.3,RUN,46.9,4.41
2023-10-26 08:47:24,P-Usine_A-000049,LOT-101,MetalX,Acier Inox 316L,1500.0,1499.67,98.7,203.5,RUN,43.0,3.62
2023-10-26 08:49:27,P-Usine_A-000050,LOT-103,MetalX,Acier Inox 316L,1500.0,1500.05,97.0,218.6,RUN,42.1,2.14
2023-10-26 08:51:09,P-Usine_A-000051,LOT-103,AluBest,Acier Inox 316L,1500.0,1499.67,96.7,249.1,RUN,50.0,3.36
2023-10-26 08:49:48,P-Usine_A-000052,LOT-104,AcierPro,Acier Inox 316L,1500.0,1499.72,103.5,229.3,RUN,48.7,3.35
2023-10-26 08:50:38,P-Usine_A-000053,LOT-102,AluBest,Acier Inox 316L,1500.0,1499.12,100.9,208.9,RUN,46.1,3.69
2023-10-26 08:51:06,P-Usine_A-000054,LOT-105,AcierPro,Acier Inox 316L,1500.0,1500.12,103.0,206.4,RUN,42.7,4.74
2023-10-26 08:59:24,P-Usine_A-000055,LOT-104,AluBest,Acier Inox 316L,1500.0,1500.13,95.5,217.3,RUN,46.4,2.99
2023-10-26 08:55:03,P-Usine_A-000056,LOT-103,MetalX,Acier Inox 316L,1500.0,1499.8,103.4,234.7,RUN,48.3,2.25
2023-10-26 08:54:31,P-Usine_A-000057,LOT-101,AluBest,Acier Inox 316L,1500.0,1500.0,99.7,235.0,RUN,43.7,2.65
2023-10-26 08:59:28,P-Usine_A-000058,LOT-103,AluBest,Acier Inox 316L,1500.0,1499.66,98.6,249.4,RUN,46.1,4.15
2023-10-26 09:03:35,P-Usine_A-000059,LOT-104,AcierPro,Acier Inox 316L,1500.0,1499.64,98.3,241.4,STOP,49.7,2.89
2023-10-26 09:02:40,P-Usine_A-000060,LOT-100,MetalX,Acier Inox 316L,1500.0,1500.0,98.6,214.8,RUN,44.3,2.42
2023-10-26 09:04:18,P-Usine_A-000061,LOT-101,MetalX,Acier Inox 316L,1500.0,1500.88,105.0,206.7,RUN,49.5,4.39
2023-10-26 08:59:58,P-Usine_A-000062,LOT-100,MetalX,Acier Inox 316L,1500.0,1500.92,100.3,225.5,RUN,45.4,3.57
2023-10-26 08:59:44,P-Usine_A-000063,LOT-105,AcierPro,Acier Inox 316L,1500.0,1499.31,97.3,211.0,RUN,49.9,2.75
2023-10-26 08:59:23,P-Usine_A-000064,LOT-100,AluBest,Acier Inox 316L,1500.0,1499.68,103.0,240.4,RUN,41.7,2.18
2023-10-26 09:00:17,P-Usine_A-000065,LOT-102,MetalX,Acier Inox 316L,1500.0,1499.51,103.6,210.2,RUN,48.2,4.91
2023-10-26 09:01:55,P-Usine_A-000066,LOT-103,AcierPro,Acier Inox 316L,1500.0,1500.35,97.6,217.8,RUN,49.1,4.5
2023-10-26 09:10:47,P-Usine_A-000067,LOT-100,MetalX,Acier Inox 316L,1500.0,1499.59,99.9,227.9,RUN,48.5,3.42
2023-10-26 09:04:50,P-Usine_A-000068,LOT-103,AcierPro,Acier Inox 316L,1500.0,1499.36,97.6,208.0,RUN,45.7,3.06
2023-10-26 09:09:31,P-Usine_A-000069,LOT-105,AcierPro,Acier Inox 316L,1500.0,,101.5,209.5,RUN,47.7,2.4
2023-10-26 09:07:54,P-Usine_A-000070,LOT-104,MetalX,Acier Inox 316L,1500.0,1499.67,102.5,235.4,RUN,49.6,3.47
2023-10-26 09:10:12,P-Usine_A-000071,LOT-105,MetalX,Acier Inox 316L,1500.0,1498.87,100.6,204.5,RUN,47.4,2.31
,P-Usine_A-000072,LOT-101,AluBest,Acier Inox 316L,1500.0,1500.06,95.6,207.8,RUN,44.2,4.79
2023-10-26 09:11:44,P-Usine_A-000073,LOT-101,AcierPro,Acier Inox 316L,1500.0,1500.18,97.9,233.0,RUN,43.2,4.88
