timestamp,part_id,id_piece,dim_x,dim_y,dim_z,tol_min,tol_max,ecart_nominale,resultat,type_defaut,id_operateur
2023-10-26 08:40:38,P-Usine_A-000001,P-Usine_A-000001,100.03,49.997,24.984,-0.05,0.05,0.03,OK,NONE,AUTO-VIS-01
2023-10-26 08:44:15,P-Usine_A-000002,P-Usine_A-000002,99.984,50.007,25.006,999.9,0.05,0.016,OK,NONE,AUTO-VIS-01
2023-10-26 08:45:24,P-Usine_A-000003,P-Usine_A-000003,99.978,49.983,25.015,-0.05,0.05,0.022,OK,NONE,AUTO-VIS-01
2023-10-26 08:40:40,P-Usine_A-000004,P-Usine_A-000004,100.006,49.999,25.003,-0.05,0.05,0.006,OK,NONE,AUTO-VIS-01
2023-10-26 08:48:39,P-Usine_A-000005,P-Usine_A-000005,99.988,50.004,24.996,-0.05,0.05,0.012,OK,NONE,AUTO-VIS-01
2023-10-26 08:45:27,P-Usine_A-000006,P-Usine_A-000006,99.992,49.99,25.014,-0.05,0.05,0.014,OK,NONE,AUTO-VIS-01
2023-10-26 08:52:25,P-Usine_A-000007,P-Usine_A-000007,100.023,50.007,25.019,-0.05,0.05,0.023,OK,NONE,AUTO-VIS-01
2023-10-26 08:48:36,P-Usine_A-000008,P-Usine_A-000008,99.985,49.989,24.992,-0.05,0.05,0.015,OK,NONE,AUTO-VIS-01
2023-10-26 08:46:30,P-Usine_A-000009,P-Usine_A-000009,100.01,50.038,25.013,-0.05,0.05,0.038,OK,NONE,AUTO-VIS-01
2023-10-26 08:53:58,P-Usine_A-000010,P-Usine_A-000010,99.981,49.971,25.008,-0.05,0.05,0.029,OK,NONE,AUTO-VIS-01
2023-10-26 08:53:06,P-Usine_A-000011,P-Usine_A-000011,100.029,49.988,25.035,-0.05,0.05,0.035,OK,NONE,AUTO-VIS-01
2023-10-26 08:48:30,P-Usine_A-000012,P-Usine_A-000012,99.987,50.003,25.008,-0.05,0.05,0.013,OK,NONE,AUTO-VIS-01
2023-10-26 08:48:54,P-Usine_A-000013,P-Usine_A-000013,99.994,50.035,24.98,-0.05,0.05,0.035,OK,NONE,AUTO-VIS-01
2023-10-26 08:49:46,P-Usine_A-000014,P-Usine_A-000014,99.989,49.987,25.011,-0.05,0.05,0.013,OK,NONE,AUTO-VIS-01
