timestamp,batch_id,oven_temp_c,immersion_time_sec,coating_thickness_um,energy_kwh
2023-10-26 08:02:43,B-Usine_B-0001,442.8,185.0,107.3,17.7
2023-10-26 08:06:22,B-Usine_B-0001,452.0,185.0,80.5,21.42
2023-10-26 08:06:46,B-Usine_B-0001,449.2,224.0,120.0,20.66
2023-10-26 08:06:46,B-Usine_B-0001,449.2,224.0,120.0,20.66
2023-10-26 08:01:06,B-Usine_B-0001,456.1,238.0,115.0,18.6
2023-10-26 07:59:49,B-Usine_B-0001,447.9,189.0,117.8,20.12
2023-10-26 08:04:39,B-Usine_B-0001,443.1,201.0,95.3,22.75
2023-10-26 08:02:16,B-Usine_B-0001,455.2,186.0,109.2,20.48
2023-10-26 08:11:59,B-Usine_B-0001,459.6,198.0,94.9,18.72
2023-10-26 08:09:39,B-Usine_B-0001,442.7,217.0,83.1,17.86
2023-10-26 08:11:51,B-Usine_B-0001,455.4,240.0,103.9,20.62
2023-10-26 08:07:04,B-Usine_B-0002,447.5,220.0,96.4,18.44
2023-10-26 08:15:39,B-Usine_B-0002,454.2,,108.8,24.41
2023-10-26 08:11:44,B-Usine_B-0002,444.7,200.0,104.0,17.58
2023-10-26 08:16:20,B-Usine_B-0002,440.7,235.0,86.0,16.06
2023-10-26 08:12:37,B-Usine_B-0002,450.8,999.9,107.8,22.81
2023-10-26 08:12:30,B-Usine_B-0002,448.7,234.0,91.8,24.4
2023-10-26 08:14:10,B-Usine_B-0002,455.5,210.0,115.5,18.43
2023-10-26 08:15:00,B-Usine_B-0002,458.0,195.0,111.3,24.5
2023-10-26 08:19:42,B-Usine_B-0002,443.8,182.0,84.5,18.01
2023-10-26 08:16:05,B-Usine_B-0002,450.5,200.0,104.9,23.49
2023-10-26 08:18:00,B-Usine_B-0003,445.4,221.0,80.3,18.65
2023-10-26 08:24:41,B-Usine_B-0003,448.7,199.0,90.5,24.72
2023-10-26 08:20:18,B-Usine_B-0003,445.0,228.0,109.8,19.98
2023-10-26 08:24:35,B-Usine_B-0003,457.4,233.0,105.9,15.48
2023-10-26 08:28:24,B-Usine_B-0003,455.0,228.0,,21.61
2023-10-26 08:26:54,B-Usine_B-0003,453.5,223.0,109.4,19.28
2023-10-26 08:23:00,B-Usine_B-0003,442.0,196.0,103.7,21.95
2023-10-26 08:26:13,B-Usine_B-0003,459.1,236.0,96.8,23.24
2023-10-26 08:31:59,B-Usine_B-0003,444.6,183.0,99.7,22.35
2023-10-26 08:33:36,B-Usine_B-0003,457.1,236.0,92.2,17.37
2023-10-26 08:30:48,B-Usine_B-0004,457.4,224.0,118.2,18.83
2023-10-26 08:33:41,B-Usine_B-0004,445.7,205.0,89.2,19.49
