timestamp,part_id,vitesse_broche_rpm,avance_outil,profondeur_passe,temp_broche,temp_piece,vibration_broche,couple_moteur,puissance_conso_kw,temps_cycle_theo,temps_cycle_reel,nb_pieces_prod,nb_pieces_nok,id_machine,version_prog,num_outil,usure_outil_pct,etat_machine,alarmes
2023-10-26 08:05:29,P-Usine_B-000001,12281,2149.0,3.09,46.5,33.4,0.529,13.24,5.62,120.0,122.1,1,0,CNU-02,v2.4,2,0.9,RUN,NONE
2023-10-26 08:05:01,P-Usine_B-000002,12012,2163.0,3.09,43.8,39.5,0.42,12.63,6.02,120.0,120.7,2,0,CNU-01,v2.4,3,4.9,RUN,NONE
2023-10-26 08:06:20,P-Usine_B-000003,12314,2119.0,3.06,42.8,42.3,0.584,12.98,5.51,120.0,119.9,3,0,CNU-02,v2.4,3,6.4,RUN,NONE
2023-10-26 08:10:01,P-Usine_B-000004,12068,2145.0,3.16,51.7,41.5,0.49,13.13,6.01,120.0,122.1,4,0,CNU-01,v2.4,1,3.0,RUN,NONE
2023-10-26 08:09:28,P-Usine_B-000005,11505,1861.0,2.9,40.2,42.9,0.559,13.4,,120.0,121.8,5,0,CNU-02,v2.4,3,5.2,RUN,NONE
2023-10-26 08:11:09,P-Usine_B-000006,11944,2164.0,2.87,54.5,37.6,0.604,12.34,6.79,120.0,122.7,6,0,CNU-01,v2.4,1,3.3,RUN,NONE
2023-10-26 08:14:17,P-Usine_B-000007,11867,2014.0,3.02,49.8,42.0,0.41,10.44,5.57,120.0,120.8,7,0,CNU-02,v2.4,4,6.8,RUN,NONE
2023-10-26 08:14:49,P-Usine_B-000008,12083,2011.0,3.15,44.6,38.5,0.443,12.32,7.26,120.0,123.0,8,0,CNU-01,v2.4,2,8.3,RUN,NONE
2023-10-26 08:15:38,P-Usine_B-000009,12063,2042.0,2.97,43.1,40.1,0.627,13.85,6.7,120.0,123.0,9,0,CNU-02,v2.4,2,5.3,RUN,NONE
2023-10-26 08:15:17,P-Usine_B-000010,12067,1830.0,2.95,53.7,42.9,0.353,12.56,7.01,120.0,123.4,10,0,CNU-01,v2.4,5,10.0,RUN,NONE
2023-10-26 08:17:10,P-Usine_B-000011,12037,2113.0,2.85,48.3,32.6,0.48,12.96,6.73,120.0,122.8,11,0,CNU-02,v2.4,3,8.5,RUN,NONE
2023-10-26 08:13:29,P-Usine_B-000012,11997,2032.0,3.01,47.3,32.2,0.66,12.47,7.21,120.0,122.0,12,0,CNU-01,v2.4,1,9.9,RUN,NONE
2023-10-26 08:17:23,P-Usine_B-000013,12217,1934.0,2.84,48.2,41.7,0.474,11.82,6.35,120.0,118.9,13,0,CNU-02,v2.4,5,9.3,RUN,NONE
2023-10-26 08:14:02,P-Usine_B-000014,11740,1948.0,3.12,46.4,42.8,0.481,13.74,6.44,120.0,121.3,14,0,CNU-01,v2.4,2,11.7,RUN,NONE
2023-10-26 08:22:38,P-Usine_B-000015,11998,2137.0,2.96,45.0,34.2,0.669,12.99,5.18,120.0,121.4,15,0,CNU-02,v2.4,1,7.7,RUN,NONE
2023-10-26 08:21:26,P-Usine_B-000016,11883,1929.0,3.0,47.0,45.0,0.448,12.32,5.51,120.0,119.8,16,0,CNU-01,v2.4,5,8.5,RUN,NONE
2023-10-26 08:20:29,P-Usine_B-000017,12113,1929.0,2.82,46.4,40.9,0.395,12.95,5.25,120.0,121.5,17,0,CNU-02,v2.4,5,12.4,RUN,NONE
2023-10-26 08:21:25,P-Usine_B-000018,11565,1913.0,3.09,47.1,43.7,0.441,10.63,6.51,120.0,121.9,18,0,CNU-01,v2.4,3,10.4,RUN,NONE
2023-10-26 08:24:17,P-Usine_B-000019,12200,1912.0,3.19,51.5,31.1,0.572,11.07,7.86,120.0,122.3,19,0,CNU-02,v2.4,1,11.4,RUN,NONE
2023-10-26 08:28:52,P-Usine_B-000020,12005,2119.0,3.09,50.0,34.8,0.474,13.34,5.23,120.0,122.2,20,0,CNU-01,v2.4,4,11.9,RUN,NONE
2023-10-26 08:30:01,P-Usine_B-000021,11857,1952.0,2.84,45.1,42.4,0.578,12.71,6.52,120.0,124.6,21,0,CNU-02,v2.4,1,14.7,RUN,NONE
2023-10-26 08:23:09,P-Usine_B-000022,11726,2193.0,3.04,44.5,37.3,0.358,11.92,7.72,120.0,120.4,22,0,CNU-01,v2.4,4,11.9,RUN,NONE
2023-10-26 08:29:14,P-Usine_B-000023,12215,2081.0,2.95,48.3,41.8,0.614,14.38,5.65,120.0,124.9,23,0,CNU-02,v2.4,1,12.4,RUN,NONE
2023-10-26 08:33:38,P-Usine_B-000024,11769,1970.0,3.02,40.9,37.3,0.336,13.3,5.83,120.0,120.3,24,0,CNU-01,v2.4,1,13.7,RUN,NONE
2023-10-26 08:26:32,P-Usine_B-000025,11619,2142.0,2.91,43.4,40.0,0.559,11.29,7.96,120.0,121.6,25,0,CNU-02,v2.4,1,12.9,RUN,NONE
2023-10-26 08:31:12,P-Usine_B-000026,12324,1846.0,3.01,54.0,35.1,0.645,14.08,6.4,120.0,118.3,26,0,CNU-01,v2.4,3,14.6,RUN,NONE
2023-10-26 08:34:13,P-Usine_B-000027,12147,2164.0,2.99,44.6,34.2,0.519,12.64,6.67,120.0,120.3,27,0,CNU-02,v2.4,2,17.4,RUN,NONE
2023-10-26 08:35:50,P-Usine_B-000028,11788,1953.0,3.04,44.2,43.7,0.549,11.32,5.59,120.0,120.6,28,0,CNU-01,v2.4,4,14.8,RUN,NONE
2023-10-26 08:35:13,P-Usine_B-000029,11905,2147.0,3.1,51.4,45.0,0.427,12.87,6.15,120.0,123.5,29,0,CNU-02,v2.4,4,15.0,RUN,NONE
2023-10-26 08:34:29,P-Usine_B-000030,11818,2112.0,2.91,43.7,40.7,0.399,13.25,5.01,120.0,124.6,30,0,CNU-01,v2.4,1,18.4,RUN,NONE
2023-10-26 08:37:03,P-Usine_B-000031,11976,2020.0,3.09,41.0,,0.607,10.12,6.6,120.0,121.4,31,0,CNU-02,v2.4,5,20.4,RUN,NONE
2023-10-26 08:36:31,P-Usine_B-000032,12008,1923.0,2.84,54.2,31.5,0.495,10.06,6.75,120.0,119.4,32,0,CNU-01,v2.4,3,20.9,RUN,NONE
2023-10-26 08:37:01,P-Usine_B-000033,11685,2061.0,3.0,51.4,38.8,0.661,11.06,7.43,120.0,123.5,33,0,CNU-02,v2.4,3,16.9,RUN,NONE
2023-10-26 08:36:26,P-Usine_B-000034,11862,2100.0,2.88,49.3,32.1,0.319,11.36,7.48,120.0,124.1,34,0,CNU-01,v2.4,2,18.1,RUN,NONE
2023-10-26 08:42:49,P-Usine_B-000035,12214,2187.0,2.88,47.4,31.0,0.432,11.58,6.7,120.0,120.9,35,0,CNU-02,v2.4,2,19.2,RUN,NONE
