timestamp,part_id,id_piece,dim_x,dim_y,dim_z,tol_min,tol_max,ecart_nominale,resultat,type_defaut,id_operateur
2023-10-26 08:39:17,P-Usine_B-000001,P-Usine_B-000001,100.036,49.984,24.982,-0.05,0.05,0.036,OK,NONE,AUTO-VIS-01
2023-10-26 08:43:33,P-Usine_B-000002,P-Usine_B-000002,100.009,49.989,25.007,-0.05,0.05,0.011,OK,NONE,AUTO-VIS-01
2023-10-26 08:40:35,P-Usine_B-000003,P-Usine_B-000003,99.979,49.992,25.004,-0.05,0.05,0.021,OK,NONE,AUTO-VIS-01
2023-10-26 08:43:50,P-Usine_B-000004,P-Usine_B-000004,100.008,50.005,24.984,-0.05,0.05,0.016,OK,NONE,AUTO-VIS-01
2023-10-26 08:42:08,P-Usine_B-000005,P-Usine_B-000005,99.998,50.005,24.993,-0.05,0.05,0.007,OK,NONE,AUTO-VIS-01
2023-10-26 08:43:13,P-Usine_B-000006,P-Usine_B-000006,100.004,50.022,24.973,-0.05,0.05,0.027,OK,NONE,AUTO-VIS-01
2023-10-26 08:42:41,P-Usine_B-000007,P-Usine_B-000007,100.007,50.006,24.997,-0.05,0.05,0.007,OK,NONE,AUTO-VIS-01
2023-10-26 08:42:41,P-Usine_B-000007,P-Usine_B-000007,100.007,50.006,24.997,-0.05,0.05,0.007,OK,NONE,AUTO-VIS-01
2023-10-26 08:44:02,P-Usine_B-000008,P-Usine_B-000008,100.008,49.968,24.99,-0.05,0.05,0.032,OK,NONE,AUTO-VIS-01
2023-10-26 08:52:39,P-Usine_B-000009,P-Usine_B-000009,100.002,50.004,24.955,-0.05,0.05,0.045,OK,NONE,AUTO-VIS-01
2023-10-26 08:46:15,P-Usine_B-000010,P-Usine_B-000010,100.018,49.983,24.985,-0.05,0.05,0.018,OK,NONE,AUTO-VIS-01
2023-10-26 08:52:00,P-Usine_B-000011,P-Usine_B-000011,99.987,49.97,25.02,-0.05,0.05,0.03,OK,NONE,AUTO-VIS-01
2023-10-26 08:48:17,P-Usine_B-000012,P-Usine_B-000012,100.008,50.026,24.984,-0.05,0.05,0.026,OK,NONE,AUTO-VIS-01
2023-10-26 08:53:37,P-Usine_B-000013,P-Usine_B-000013,100.024,50.003,24.978,-0.05,0.05,0.024,OK,NONE,AUTO-VIS-01
2023-10-26 08:52:16,P-Usine_B-000014,P-Usine_B-000014,99.986,49.995,25.002,-0.05,0.05,0.014,OK,NONE,AUTO-VIS-01
2023-10-26 08:50:58,P-Usine_B-000015,P-Usine_B-000015,100.008,50.01,25.021,-0.05,0.05,0.021,OK,NONE,AUTO-VIS-01
2023-10-26 08:52:18,P-Usine_B-000016,P-Usine_B-000016,100.0,49.974,25.003,-0.05,0.05,0.026,OK,NONE,AUTO-VIS-01
2023-10-26 08:53:35,P-Usine_B-000017,P-Usine_B-000017,100.025,49.979,24.985,-0.05,0.05,0.025,OK,NONE,AUTO-VIS-01
2023-10-26 09:00:06,P-Usine_B-000018,P-Usine_B-000018,99.998,49.983,24.994,-0.05,0.05,0.017,OK,NONE,AUTO-VIS-01
2023-10-26 09:00:34,P-Usine_B-000019,P-Usine_B-000019,,50.043,25.04,-0.05,0.05,0.043,OK,NONE,AUTO-VIS-01
2023-10-26 09:01:20,P-Usine_B-000020,P-Usine_B-000020,100.001,49.972,25.012,-0.05,0.05,0.028,OK,NONE,AUTO-VIS-01
2023-10-26 09:01:20,P-Usine_B-000020,P-Usine_B-000020,100.001,49.972,25.012,-0.05,0.05,0.028,OK,NONE,AUTO-VIS-01
2023-10-26 09:05:54,P-Usine_B-000021,P-Usine_B-000021,100.015,49.994,25.001,-0.05,0.05,0.015,OK,NONE,AUTO-VIS-01
2023-10-26 08:59:17,P-Usine_B-000022,P-Usine_B-000022,99.984,50.011,25.006,-0.05,0.05,0.016,OK,NONE,AUTO-VIS-01
2023-10-26 09:03:43,P-Usine_B-000023,P-Usine_B-000023,99.993,49.997,25.021,-0.05,0.05,0.021,OK,NONE,AUTO-VIS-01
2023-10-26 09:06:47,P-Usine_B-000024,P-Usine_B-000024,100.023,49.991,24.97,-0.05,0.05,0.03,OK,NONE,AUTO-VIS-01
2023-10-26 09:02:53,P-Usine_B-000025,P-Usine_B-000025,100.026,50.033,25.025,-0.05,0.05,0.033,OK,NONE,AUTO-VIS-01
2023-10-26 09:06:13,P-Usine_B-000026,P-Usine_B-000026,100.027,50.004,25.008,-0.05,0.05,0.027,OK,NONE,AUTO-VIS-01
2023-10-26 09:10:51,P-Usine_B-000027,P-Usine_B-000027,99.996,50.033,25.007,-0.05,0.05,0.033,OK,NONE,AUTO-VIS-01
2023-10-26 09:06:11,P-Usine_B-000028,P-Usine_B-000028,100.0,49.978,25.011,-0.05,0.05,0.022,OK,NONE,AUTO-VIS-01
2023-10-26 09:11:01,P-Usine_B-000029,P-Usine_B-000029,100.013,49.992,25.009,-0.05,0.05,0.013,OK,NONE,AUTO-VIS-01
2023-10-26 09:06:36,P-Usine_B-000030,P-Usine_B-000030,100.03,50.019,25.006,-0.05,0.05,0.03,OK,NONE,AUTO-VIS-01
2023-10-26 09:07:58,P-Usine_B-000031,P-Usine_B-000031,100.014,49.971,24.992,-0.05,0.05,0.029,OK,NONE,AUTO-VIS-01
